game_id,season,week,kickoff,margin_prediction,margin_actual,total_prediction,total_actual,margin_lower,margin_upper,margin_covered,total_lower,total_upper,total_covered
2023_05_DAL_SF,2023,5,2023-10-08T20:20-04:00,3.541307635048277,32.0,44.78947368421053,52.0,-13.150024920154667,20.23264019025122,False,26.66062214359428,62.91832522482677,True
2023_05_GB_LV,2023,5,2023-10-09T20:15-04:00,-0.999850525712294,4.0,45.705882352941174,30.0,-17.691183080915238,15.69148202949065,True,27.577030812324928,63.83473389355742,True
2023_06_DEN_KC,2023,6,2023-10-12T20:15-04:00,13.857872674798822,11.0,44.7,27.0,-2.8334598804041224,30.549205230001768,True,26.571148459383757,62.82885154061625,True
2023_06_BAL_TEN,2023,6,2023-10-15T09:30-04:00,-3.3726078453951978,-8.0,38.93464052287582,40.0,-20.063940400598142,13.318724709807746,True,20.80578898225957,57.06349206349206,True
2023_06_CAR_MIA,2023,6,2023-10-15T13:00-04:00,10.032968218496917,21.0,45.122549019607845,63.0,-6.658364336706027,26.72430077369986,True,26.9936974789916,63.25140056022409,True
2023_06_IND_JAX,2023,6,2023-10-15T13:00-04:00,5.619563620523042,17.0,43.743034055727556,57.0,-11.071768934679902,22.310896175725986,True,25.61418251511131,61.8718855963438,True
2023_06_MIN_CHI,2023,6,2023-10-15T13:00-04:00,-4.807122671018229,-6.0,48.372549019607845,32.0,-21.498455226221175,11.884209884184715,True,30.2436974789916,66.50140056022408,True
2023_06_NO_HOU,2023,6,2023-10-15T13:00-04:00,1.5382956382812225,7.0,40.705882352941174,33.0,-15.153036916921721,18.229628193484167,True,22.577030812324928,58.83473389355742,True
2023_06_SEA_CIN,2023,6,2023-10-15T13:00-04:00,2.844639389969074,4.0,46.880116959064324,30.0,-13.84669316523387,19.53597194517202,True,28.751265418448078,65.00896849968058,True
2023_06_SF_CLE,2023,6,2023-10-15T13:00-04:00,-11.8613285315357,2.0,43.3235294117647,36.0,-28.552661086738645,4.830004023667245,True,25.194677871148457,61.45238095238095,True
2023_06_WAS_ATL,2023,6,2023-10-15T13:00-04:00,2.694619373863305,-8.0,41.61764705882353,40.0,-13.99671318133964,19.38595192906625,True,23.488795518207283,59.746498599439775,True
2023_06_NE_LV,2023,6,2023-10-15T16:05-04:00,3.4847693028154034,4.0,44.8235294117647,38.0,-13.206563252387541,20.17610185801835,True,26.694677871148457,62.95238095238095,True
2023_06_ARI_LA,2023,6,2023-10-15T16:25-04:00,5.637732202475357,17.0,43.529411764705884,35.0,-11.053600352727587,22.329064757678303,True,25.400560224089638,61.65826330532213,True
